rule_name,pattern,expected_flag,rule_based,llm,hybrid,outcome
gen037_logsource_drift,logsource_drift,yes,True,True,True,TP
gen038_added_exclusion,added_exclusion,yes,True,True,True,TP
gen039_weakened_condition,weakened_condition,yes,True,True,True,TP
gen040_unchanged,unchanged,no,False,,False,TN
gen041_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen042_strengthened,strengthened,no,True,False,False,TN
gen043_logsource_drift,logsource_drift,yes,True,True,True,TP
gen044_added_exclusion,added_exclusion,yes,True,True,True,TP
gen045_weakened_condition,weakened_condition,yes,True,True,True,TP
gen046_unchanged,unchanged,no,False,,False,TN
gen047_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen048_narrowed_match,narrowed_match,yes,True,True,True,TP
gen049_logsource_drift,logsource_drift,yes,True,True,True,TP
gen050_added_exclusion,added_exclusion,yes,True,True,True,TP
gen051_weakened_condition,weakened_condition,yes,True,True,True,TP
gen052_unchanged,unchanged,no,False,,False,TN
gen053_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen054_strengthened,strengthened,no,True,False,False,TN
gen055_narrowed_match,narrowed_match,yes,True,True,True,TP
gen056_logsource_drift,logsource_drift,yes,True,True,True,TP
gen057_added_exclusion,added_exclusion,yes,True,True,True,TP
gen058_weakened_condition,weakened_condition,yes,True,True,True,TP
gen059_unchanged,unchanged,no,False,,False,TN
gen060_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen061_strengthened,strengthened,no,True,False,False,TN
gen062_narrowed_match,narrowed_match,yes,True,True,True,TP
gen063_logsource_drift,logsource_drift,yes,True,True,True,TP
gen064_added_exclusion,added_exclusion,yes,True,True,True,TP
gen065_weakened_condition,weakened_condition,yes,True,True,True,TP
gen066_unchanged,unchanged,no,False,,False,TN
gen067_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen068_strengthened,strengthened,no,True,False,False,TN
gen069_narrowed_match,narrowed_match,yes,True,True,True,TP
gen070_logsource_drift,logsource_drift,yes,True,True,True,TP
gen071_added_exclusion,added_exclusion,yes,True,True,True,TP
gen072_weakened_condition,weakened_condition,yes,True,True,True,TP
gen073_unchanged,unchanged,no,False,,False,TN
gen074_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen075_strengthened,strengthened,no,True,False,False,TN
gen076_narrowed_match,narrowed_match,yes,True,True,True,TP
gen077_logsource_drift,logsource_drift,yes,True,True,True,TP
gen078_added_exclusion,added_exclusion,yes,True,True,True,TP
gen079_weakened_condition,weakened_condition,yes,True,True,True,TP
gen080_unchanged,unchanged,no,False,,False,TN
gen081_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen082_strengthened,strengthened,no,True,False,False,TN
gen083_logsource_drift,logsource_drift,yes,True,True,True,TP
gen084_added_exclusion,added_exclusion,yes,True,True,True,TP
gen085_weakened_condition,weakened_condition,yes,True,True,True,TP
gen086_unchanged,unchanged,no,False,,False,TN
gen087_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen088_narrowed_match,narrowed_match,yes,True,True,True,TP
gen089_logsource_drift,logsource_drift,yes,True,True,True,TP
gen090_added_exclusion,added_exclusion,yes,True,True,True,TP
gen091_unchanged,unchanged,no,False,,False,TN
gen092_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen093_strengthened,strengthened,no,True,False,False,TN
gen094_logsource_drift,logsource_drift,yes,True,True,True,TP
gen095_added_exclusion,added_exclusion,yes,True,True,True,TP
gen096_unchanged,unchanged,no,False,,False,TN
gen097_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen098_narrowed_match,narrowed_match,yes,True,True,True,TP
gen099_logsource_drift,logsource_drift,yes,True,True,True,TP
gen100_added_exclusion,added_exclusion,yes,True,True,True,TP
gen101_weakened_condition,weakened_condition,yes,True,True,True,TP
gen102_unchanged,unchanged,no,False,,False,TN
gen103_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen104_strengthened,strengthened,no,True,False,False,TN
gen105_narrowed_match,narrowed_match,yes,True,True,True,TP
gen106_logsource_drift,logsource_drift,yes,True,True,True,TP
gen107_added_exclusion,added_exclusion,yes,True,True,True,TP
gen108_weakened_condition,weakened_condition,yes,True,True,True,TP
gen109_unchanged,unchanged,no,False,,False,TN
gen110_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen111_strengthened,strengthened,no,True,False,False,TN
gen112_narrowed_match,narrowed_match,yes,True,True,True,TP
gen113_logsource_drift,logsource_drift,yes,True,True,True,TP
gen114_added_exclusion,added_exclusion,yes,True,True,True,TP
gen115_weakened_condition,weakened_condition,yes,True,True,True,TP
gen116_unchanged,unchanged,no,False,,False,TN
gen117_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen118_strengthened,strengthened,no,True,False,False,TN
gen119_narrowed_match,narrowed_match,yes,True,True,True,TP
gen120_logsource_drift,logsource_drift,yes,True,True,True,TP
gen121_added_exclusion,added_exclusion,yes,True,True,True,TP
gen122_weakened_condition,weakened_condition,yes,True,True,True,TP
gen123_unchanged,unchanged,no,False,,False,TN
gen124_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen125_strengthened,strengthened,no,True,False,False,TN
