rule_name,pattern,expected_flag,llm_verdict,outcome
gen098_narrowed_match,narrowed_match,yes,True,TP
gen099_logsource_drift,logsource_drift,yes,True,TP
gen100_added_exclusion,added_exclusion,yes,True,TP
gen101_weakened_condition,weakened_condition,yes,True,TP
gen102_unchanged,unchanged,no,False,TN
gen103_cosmetic_edit,cosmetic_edit,no,False,TN
gen104_strengthened,strengthened,no,False,TN
gen105_narrowed_match,narrowed_match,yes,True,TP
gen106_logsource_drift,logsource_drift,yes,True,TP
gen107_added_exclusion,added_exclusion,yes,True,TP
gen108_weakened_condition,weakened_condition,yes,True,TP
gen109_unchanged,unchanged,no,False,TN
gen110_cosmetic_edit,cosmetic_edit,no,False,TN
gen111_strengthened,strengthened,no,False,TN
gen112_narrowed_match,narrowed_match,yes,True,TP
gen113_logsource_drift,logsource_drift,yes,True,TP
gen114_added_exclusion,added_exclusion,yes,True,TP
gen115_weakened_condition,weakened_condition,yes,True,TP
gen116_unchanged,unchanged,no,False,TN
gen117_cosmetic_edit,cosmetic_edit,no,False,TN
gen118_strengthened,strengthened,no,False,TN
gen119_narrowed_match,narrowed_match,yes,True,TP
gen120_logsource_drift,logsource_drift,yes,True,TP
gen121_added_exclusion,added_exclusion,yes,True,TP
gen122_weakened_condition,weakened_condition,yes,True,TP
gen123_unchanged,unchanged,no,False,TN
gen124_cosmetic_edit,cosmetic_edit,no,False,TN
gen125_strengthened,strengthened,no,False,TN
