pair_id,rule_name,pattern,change_type,expected_flag,source_rule
gen070,gen070_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_certutil_encode.yml
gen071,gen071_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_certutil_encode.yml
gen072,gen072_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_certutil_encode.yml
gen073,gen073_unchanged,unchanged,not_weakened,no,proc_creation_win_certutil_encode.yml
gen074,gen074_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_certutil_encode.yml
gen075,gen075_strengthened,strengthened,not_weakened,no,proc_creation_win_certutil_encode.yml
gen076,gen076_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_forfiles_child_process_masquerading.yml
gen077,gen077_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_forfiles_child_process_masquerading.yml
gen078,gen078_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_forfiles_child_process_masquerading.yml
gen079,gen079_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_forfiles_child_process_masquerading.yml
gen080,gen080_unchanged,unchanged,not_weakened,no,proc_creation_win_forfiles_child_process_masquerading.yml
gen081,gen081_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_forfiles_child_process_masquerading.yml
gen082,gen082_strengthened,strengthened,not_weakened,no,proc_creation_win_forfiles_child_process_masquerading.yml
gen083,gen083_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_net_use_mount_internet_share.yml
gen084,gen084_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_net_use_mount_internet_share.yml
gen085,gen085_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_net_use_mount_internet_share.yml
gen086,gen086_unchanged,unchanged,not_weakened,no,proc_creation_win_net_use_mount_internet_share.yml
gen087,gen087_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_net_use_mount_internet_share.yml
gen088,gen088_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_ntdsutil_usage.yml
gen089,gen089_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_ntdsutil_usage.yml
gen090,gen090_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_ntdsutil_usage.yml
gen091,gen091_unchanged,unchanged,not_weakened,no,proc_creation_win_ntdsutil_usage.yml
gen092,gen092_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_ntdsutil_usage.yml
gen093,gen093_strengthened,strengthened,not_weakened,no,proc_creation_win_ntdsutil_usage.yml
gen094,gen094_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_taskkill_sep.yml
gen095,gen095_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_taskkill_sep.yml
gen096,gen096_unchanged,unchanged,not_weakened,no,proc_creation_win_taskkill_sep.yml
gen097,gen097_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_taskkill_sep.yml
gen098,gen098_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_certoc_load_dll_susp_locations.yml
gen099,gen099_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_certoc_load_dll_susp_locations.yml
gen100,gen100_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_certoc_load_dll_susp_locations.yml
gen101,gen101_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_certoc_load_dll_susp_locations.yml
gen102,gen102_unchanged,unchanged,not_weakened,no,proc_creation_win_certoc_load_dll_susp_locations.yml
gen103,gen103_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_certoc_load_dll_susp_locations.yml
gen104,gen104_strengthened,strengthened,not_weakened,no,proc_creation_win_certoc_load_dll_susp_locations.yml
gen105,gen105_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_wmic_remote_execution.yml
gen106,gen106_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_wmic_remote_execution.yml
gen107,gen107_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_wmic_remote_execution.yml
gen108,gen108_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_wmic_remote_execution.yml
gen109,gen109_unchanged,unchanged,not_weakened,no,proc_creation_win_wmic_remote_execution.yml
gen110,gen110_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_wmic_remote_execution.yml
gen111,gen111_strengthened,strengthened,not_weakened,no,proc_creation_win_wmic_remote_execution.yml
gen112,gen112_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_msbuild_susp_parent_process.yml
gen113,gen113_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_msbuild_susp_parent_process.yml
gen114,gen114_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_msbuild_susp_parent_process.yml
gen115,gen115_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_msbuild_susp_parent_process.yml
gen116,gen116_unchanged,unchanged,not_weakened,no,proc_creation_win_msbuild_susp_parent_process.yml
gen117,gen117_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_msbuild_susp_parent_process.yml
gen118,gen118_strengthened,strengthened,not_weakened,no,proc_creation_win_msbuild_susp_parent_process.yml
gen119,gen119_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_sdbinst_shim_persistence.yml
gen120,gen120_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_sdbinst_shim_persistence.yml
gen121,gen121_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_sdbinst_shim_persistence.yml
gen122,gen122_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_sdbinst_shim_persistence.yml
gen123,gen123_unchanged,unchanged,not_weakened,no,proc_creation_win_sdbinst_shim_persistence.yml
gen124,gen124_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_sdbinst_shim_persistence.yml
gen125,gen125_strengthened,strengthened,not_weakened,no,proc_creation_win_sdbinst_shim_persistence.yml
